dataset	culture_day	pathway	feature_counts	sig_feature_counts	features	sig_features
BPS_high_wk12	d1	map02010	71	6	133.01307__4.653;133.01308__1.233;133.01308__4.567;135.04397__1.834;147.06517__1.255;147.06526__2.488;149.00803__0.964;149.00804__0.917;149.00811__0.449;149.00842__2.603;149.00847__3.563;149.0085__1.923;151.02495__0.678;151.02503__0.756;151.02519__2.215;152.03421__0.382;167.03337__4.846;167.03392__0.676;167.03397__0.381;171.00482__4.333;171.00482__4.806;177.03952__0.47;177.03954__0.486;179.05512__0.505;179.05512__0.505;179.05512__0.505;179.05516__4.587;179.05516__4.587;179.05516__4.587;179.05518__0.476;179.05518__0.476;179.05518__0.476;179.05518__0.713;179.05518__0.713;179.05518__0.713;179.05563__2.611;179.05563__2.611;179.05563__2.611;186.964__0.458;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;207.08701__3.124;248.93876__1.193;248.93878__1.166;273.07698__1.518;273.07701__1.493;273.07709__7.917;275.07567__1.631;275.07567__1.631;275.07567__1.631;305.1606__1.447;333.20551__1.639;333.20688__1.657;333.20699__1.622;351.21665__1.546;351.21671__1.498;351.2175__2.513;351.21797__1.527;567.30014__1.472;567.30027__1.446;567.30044__2.464	197.04454__1.337;197.04454__1.337;197.04454__1.337;275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d1	map04261	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d1	map04382	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d1	map04923	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d1	map04924	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d1	map07015	2	2	213.05515__1.498;213.05515__1.498	213.05515__1.498;213.05515__1.498
BPS_high_wk12	d2	map00330	42	6	130.04964__0.095;146.04471__4.779;149.00803__0.964;149.00804__0.917;149.00811__0.449;149.00842__2.603;149.00847__3.563;149.0085__1.923;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;153.02947__4.808;153.02949__1.216;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;186.964__0.458;195.05026__1.002;207.10214__1.426;247.09841__1.379;247.09885__1.258;255.06591__2.434;255.06592__1.487;255.06592__1.487;255.06592__1.487;255.06593__1.637;255.06612__1.46;255.0664__7.705;275.07567__1.631;275.07567__1.631;275.07567__1.631;341.12354__3.654;341.12387__3.183;345.21008__1.657;345.21015__1.62;351.21665__1.546;351.21671__1.498;351.2175__2.513;351.21797__1.527	255.06592__1.487;255.06592__1.487;255.06592__1.487;275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map00350	52	7	157.01299__0.881;157.01306__1.009;157.01307__4.856;157.01309__0.467;157.01319__0.468;157.01328__1.199;157.0133__1.1;167.03337__4.846;167.03337__4.846;167.03392__0.676;167.03392__0.676;167.03397__0.381;167.03397__0.381;180.06564__0.65;180.06573__0.692;180.06578__0.357;181.01349__1.244;181.01351__1.172;181.04911__4.783;181.04948__0.804;181.04982__1.2;181.04992__4.663;195.05005__1.181;195.05021__0.788;195.05024__0.472;195.05032__1.209;195.05035__0.815;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;203.08194__0.936;255.04841__0.699;255.04862__0.725;258.03855__6.013;275.07567__1.631;275.07567__1.631;275.07567__1.631;457.11414__1.356;457.11467__1.351	157.01299__0.881;197.04454__1.337;197.04454__1.337;197.04454__1.337;275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map00360	20	3	129.01809__0.359;129.01809__0.359;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;167.03337__4.846;167.03392__0.676;167.03397__0.381;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294;327.08775__1.09	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk12	d2	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map00522	12	1	171.00482__4.333;171.00482__4.806;175.09654__1.529;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;351.21665__1.546;351.21671__1.498;351.2175__2.513;351.21797__1.527	175.09654__1.529
BPS_high_wk12	d2	map00523	14	1	166.03846__2.388;166.03856__1.926;166.03858__2.609;169.12211__1.581;169.12241__1.598;175.09654__1.529;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;213.0148__1.276;248.93876__1.193;248.93878__1.166	175.09654__1.529
BPS_high_wk12	d2	map00541	39	1	149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;153.01803__2.667;153.01826__0.473;153.01829__1.072;153.0183__0.471;153.01838__4.142;163.03903__2.57;166.03846__2.388;166.03856__1.926;166.03858__2.609;171.00482__4.333;171.00482__4.806;175.09654__1.529;179.05512__0.505;179.05512__0.505;179.05516__4.587;179.05516__4.587;179.05518__0.476;179.05518__0.476;179.05518__0.713;179.05518__0.713;179.05563__2.611;179.05563__2.611;182.04462__4.02;182.04501__0.752;195.05026__1.002;209.08069__4.323;209.08115__7.583;209.08146__1.197;248.93876__1.193;248.93878__1.166;327.08775__1.09;339.18076__1.653;339.18091__7.447;339.18096__1.44;362.15375__7.56	175.09654__1.529
BPS_high_wk12	d2	map00621	15	3	152.03421__0.382;163.07541__1.403;164.07067__0.757;164.07072__0.755;164.07084__2.56;265.01805__2.317;265.01805__2.317;265.01805__2.317;265.01822__6.79;271.06133__1.491;271.06134__1.513;271.06138__2.505;335.05745__1.635;443.25828__1.62;443.25957__1.592	265.01805__2.317;265.01805__2.317;265.01805__2.317
BPS_high_wk12	d2	map00760	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk12	d2	map00790	22	3	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;405.26456__1.555;405.26458__1.587;405.26467__2.547	197.04454__1.337;197.04454__1.337;197.04454__1.337
BPS_high_wk12	d2	map00901	17	0	179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;207.05046__0.444;286.10147__9.032;293.17599__2.486;317.21244__1.846;335.22294__1.649;335.22305__1.658;359.14865__1.57;457.11414__1.356;457.11467__1.351;567.30014__1.472;567.30027__1.446;567.30044__2.464	
BPS_high_wk12	d2	map00903	5	3	175.09654__1.529;213.11287__7.72;363.18176__1.443;363.18176__1.443;363.18223__1.403	175.09654__1.529;363.18176__1.443;363.18176__1.443
BPS_high_wk12	d2	map00944	22	3	107.04881__2.145;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;151.02495__0.678;151.02503__0.756;151.02519__2.215;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk12	d2	map00945	12	2	149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;191.07074__1.411;191.07074__1.411;195.05026__1.002;345.21008__1.657;345.21015__1.62;367.21216__1.494;367.21218__1.452;367.21226__2.318	191.07074__1.411;191.07074__1.411
BPS_high_wk12	d2	map00984	20	3	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;181.01349__1.244;181.01351__1.172;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;265.01805__2.317;265.01805__2.317;265.01805__2.317;265.01822__6.79;265.18058__1.686;265.18077__1.549;265.18112__8.292	265.01805__2.317;265.01805__2.317;265.01805__2.317
BPS_high_wk12	d2	map02010	71	6	133.01307__4.653;133.01308__1.233;133.01308__4.567;135.04397__1.834;147.06517__1.255;147.06526__2.488;149.00803__0.964;149.00804__0.917;149.00811__0.449;149.00842__2.603;149.00847__3.563;149.0085__1.923;151.02495__0.678;151.02503__0.756;151.02519__2.215;152.03421__0.382;167.03337__4.846;167.03392__0.676;167.03397__0.381;171.00482__4.333;171.00482__4.806;177.03952__0.47;177.03954__0.486;179.05512__0.505;179.05512__0.505;179.05512__0.505;179.05516__4.587;179.05516__4.587;179.05516__4.587;179.05518__0.476;179.05518__0.476;179.05518__0.476;179.05518__0.713;179.05518__0.713;179.05518__0.713;179.05563__2.611;179.05563__2.611;179.05563__2.611;186.964__0.458;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;207.08701__3.124;248.93876__1.193;248.93878__1.166;273.07698__1.518;273.07701__1.493;273.07709__7.917;275.07567__1.631;275.07567__1.631;275.07567__1.631;305.1606__1.447;333.20551__1.639;333.20688__1.657;333.20699__1.622;351.21665__1.546;351.21671__1.498;351.2175__2.513;351.21797__1.527;567.30014__1.472;567.30027__1.446;567.30044__2.464	197.04454__1.337;197.04454__1.337;197.04454__1.337;275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map04261	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map04382	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map04923	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map04924	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d2	map04925	19	0	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;177.03952__0.47;177.03954__0.486;195.05026__1.002;327.08775__1.09;333.20551__1.639;333.20688__1.657;333.20699__1.622;337.23645__2.121;337.23841__1.571;337.23858__1.61	
BPS_high_wk12	d2	map07015	2	2	213.05515__1.498;213.05515__1.498	213.05515__1.498;213.05515__1.498
BPS_high_wk12	d7	map00360	20	3	129.01809__0.359;129.01809__0.359;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;167.03337__4.846;167.03392__0.676;167.03397__0.381;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294;327.08775__1.09	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk12	d7	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d7	map00760	25	3	138.01851__0.392;156.99396__1.426;156.99396__1.426;156.99396__1.426;156.99414__2.325;173.00832__0.434;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;191.01893__0.927;191.01899__0.877;191.01902__1.159;191.01903__1.199;191.01903__4.876;191.01907__1.949;191.0191__4.852;191.01918__0.417;255.04841__0.699;255.04862__0.725;315.25413__1.597;405.26456__1.555;405.26458__1.587;405.26467__2.547	156.99396__1.426;156.99396__1.426;156.99396__1.426
BPS_high_wk12	d7	map00790	22	3	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;405.26456__1.555;405.26458__1.587;405.26467__2.547	197.04454__1.337;197.04454__1.337;197.04454__1.337
BPS_high_wk12	d7	map00944	22	3	107.04881__2.145;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;151.02495__0.678;151.02503__0.756;151.02519__2.215;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;195.05026__1.002;209.04361__3.474;209.04361__3.81;209.04463__7.022;209.04483__1.331;209.04504__1.394;209.04504__1.394;209.04504__1.394;269.06597__2.294	209.04504__1.394;209.04504__1.394;209.04504__1.394
BPS_high_wk12	d7	map00945	12	2	149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;191.07074__1.411;191.07074__1.411;195.05026__1.002;345.21008__1.657;345.21015__1.62;367.21216__1.494;367.21218__1.452;367.21226__2.318	191.07074__1.411;191.07074__1.411
BPS_high_wk12	d7	map00984	20	3	171.00482__4.333;171.00482__4.806;179.05512__0.505;179.05516__4.587;179.05518__0.476;179.05518__0.713;179.05563__2.611;181.01349__1.244;181.01351__1.172;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;265.01805__2.317;265.01805__2.317;265.01805__2.317;265.01822__6.79;265.18058__1.686;265.18077__1.549;265.18112__8.292	265.01805__2.317;265.01805__2.317;265.01805__2.317
BPS_high_wk12	d7	map04261	5	3	163.03903__2.57;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d7	map04382	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d7	map04923	14	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;149.04446__1.047;149.04451__0.435;149.0446__0.865;149.04462__4.821;163.03903__2.57;195.05026__1.002;275.07567__1.631;275.07567__1.631;275.07567__1.631;327.08775__1.09	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk12	d7	map04924	7	3	129.01809__0.359;144.02906__0.972;144.02909__0.466;144.02912__0.431;275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk17	d1	map00350	51	5	157.01299__0.881;157.01306__1.009;157.01307__4.856;157.01309__0.467;157.01319__0.468;157.01328__1.199;157.0133__1.1;167.03337__4.846;167.03337__4.846;167.03392__0.676;167.03392__0.676;167.03397__0.381;167.03397__0.381;180.06564__0.65;180.06573__0.692;180.06578__0.357;181.01349__1.244;181.01351__1.172;181.04911__4.783;181.04948__0.804;181.04982__1.2;181.04992__4.663;195.05005__1.181;195.05021__0.788;195.05024__0.472;195.05032__1.209;195.05035__0.815;197.04408__0.813;197.04417__4.861;197.04425__4.815;197.04443__1.068;197.04443__1.965;197.04444__0.841;197.04454__1.337;197.04454__1.337;197.04473__0.917;197.04474__0.458;197.04476__1.227;199.02349__4.831;199.02411__1.033;199.02412__0.925;199.02416__1.101;203.08194__0.936;255.04841__0.699;255.04862__0.725;258.03855__6.013;275.07567__1.631;275.07567__1.631;275.07567__1.631;457.11414__1.356;457.11467__1.351	197.04454__1.337;197.04454__1.337;275.07567__1.631;275.07567__1.631;275.07567__1.631
BPS_high_wk17	d1	map00515	3	3	275.07567__1.631;275.07567__1.631;275.07567__1.631	275.07567__1.631;275.07567__1.631;275.07567__1.631
